,Fold,Model,Accuracy,Balanced Accuracy,Precision-Macro,Precision-Weighted,Recall-Macro,Recall-Weighted,F1-Score-Macro,F1-Score-Weighted
0,1,AdaBoostClassifier,0.367,0.389,0.323,0.49,0.389,0.367,0.259,0.324
1,1,BaggingClassifier,0.986,0.897,0.953,0.986,0.897,0.986,0.917,0.986
2,1,BernoulliNB,0.7,0.52,0.492,0.746,0.52,0.7,0.486,0.714
3,1,CalibratedClassifierCV,0.976,0.761,0.925,0.974,0.761,0.976,0.78,0.973
4,1,DecisionTreeClassifier,0.986,0.907,0.94,0.986,0.907,0.986,0.919,0.986
5,1,DummyClassifier,0.326,0.125,0.041,0.106,0.125,0.326,0.061,0.16
6,1,ExtraTreeClassifier,0.849,0.723,0.702,0.851,0.723,0.849,0.712,0.85
7,1,ExtraTreesClassifier,0.977,0.815,0.977,0.977,0.815,0.977,0.855,0.975
8,1,GaussianNB,0.04,0.248,0.009,0.003,0.248,0.04,0.017,0.005
9,1,KNeighborsClassifier,0.872,0.607,0.687,0.864,0.607,0.872,0.624,0.862
10,1,LabelPropagation,0.826,0.611,0.843,0.847,0.611,0.826,0.653,0.823
11,1,LabelSpreading,0.826,0.611,0.843,0.847,0.611,0.826,0.653,0.823
12,1,LinearDiscriminantAnalysis,0.979,0.942,0.907,0.984,0.942,0.979,0.915,0.981
13,1,LinearSVC,0.986,0.931,0.955,0.986,0.931,0.986,0.94,0.986
14,1,LogisticRegression,0.99,0.935,0.968,0.99,0.935,0.99,0.95,0.99
15,1,NearestCentroid,0.735,0.601,0.562,0.792,0.601,0.735,0.55,0.746
16,1,PassiveAggressiveClassifier,0.973,0.825,0.885,0.972,0.825,0.973,0.847,0.972
17,1,Perceptron,0.968,0.868,0.885,0.97,0.868,0.968,0.866,0.969
18,1,QuadraticDiscriminantAnalysis,0.284,0.571,0.597,0.769,0.571,0.284,0.361,0.262
19,1,RandomForestClassifier,0.973,0.755,0.839,0.97,0.755,0.973,0.775,0.97
20,1,RidgeClassifier,0.914,0.594,0.58,0.862,0.594,0.914,0.585,0.885
21,1,RidgeClassifierCV,0.914,0.594,0.579,0.861,0.594,0.914,0.585,0.885
22,1,SGDClassifier,0.97,0.777,0.809,0.966,0.777,0.97,0.79,0.968
23,1,SVC,0.973,0.802,0.849,0.972,0.802,0.973,0.82,0.971
24,1,LGBMClassifier,0.841,0.667,0.64,0.882,0.667,0.841,0.638,0.858
25,2,AdaBoostClassifier,0.544,0.365,0.259,0.379,0.365,0.544,0.276,0.406
26,2,BaggingClassifier,0.987,0.914,0.954,0.987,0.914,0.987,0.929,0.987
27,2,BernoulliNB,0.715,0.56,0.564,0.758,0.56,0.715,0.515,0.725
28,2,CalibratedClassifierCV,0.978,0.748,0.891,0.976,0.748,0.978,0.767,0.974
29,2,DecisionTreeClassifier,0.987,0.928,0.932,0.987,0.928,0.987,0.93,0.987
30,2,DummyClassifier,0.335,0.125,0.042,0.112,0.125,0.335,0.063,0.168
31,2,ExtraTreeClassifier,0.817,0.643,0.653,0.817,0.643,0.817,0.647,0.817
32,2,ExtraTreesClassifier,0.974,0.771,0.979,0.975,0.771,0.974,0.803,0.971
33,2,GaussianNB,0.038,0.265,0.169,0.166,0.265,0.038,0.037,0.006
34,2,KNeighborsClassifier,0.87,0.604,0.671,0.861,0.604,0.87,0.622,0.86
35,2,LabelPropagation,0.82,0.611,0.81,0.841,0.611,0.82,0.654,0.817
36,2,LabelSpreading,0.821,0.611,0.81,0.841,0.611,0.821,0.654,0.817
37,2,LinearDiscriminantAnalysis,0.978,0.94,0.891,0.982,0.94,0.978,0.906,0.979
38,2,LinearSVC,0.984,0.882,0.934,0.984,0.882,0.984,0.902,0.983
39,2,LogisticRegression,0.989,0.921,0.973,0.989,0.921,0.989,0.944,0.989
40,2,NearestCentroid,0.735,0.652,0.573,0.793,0.652,0.735,0.565,0.745
41,2,PassiveAggressiveClassifier,0.965,0.808,0.848,0.965,0.808,0.965,0.824,0.965
42,2,Perceptron,0.97,0.831,0.863,0.97,0.831,0.97,0.842,0.97
43,2,QuadraticDiscriminantAnalysis,0.298,0.553,0.646,0.834,0.553,0.298,0.37,0.277
44,2,RandomForestClassifier,0.969,0.723,0.85,0.967,0.723,0.969,0.737,0.964
45,2,RidgeClassifier,0.906,0.583,0.576,0.85,0.583,0.906,0.576,0.875
46,2,RidgeClassifierCV,0.906,0.583,0.576,0.851,0.583,0.906,0.576,0.875
47,2,SGDClassifier,0.971,0.768,0.852,0.967,0.768,0.971,0.796,0.968
48,2,SVC,0.973,0.793,0.85,0.972,0.793,0.973,0.815,0.972
49,2,LGBMClassifier,0.812,0.639,0.587,0.834,0.639,0.812,0.602,0.82
50,3,AdaBoostClassifier,0.552,0.368,0.283,0.413,0.368,0.552,0.285,0.419
51,3,BaggingClassifier,0.988,0.951,0.963,0.988,0.951,0.988,0.956,0.988
52,3,BernoulliNB,0.701,0.529,0.623,0.75,0.529,0.701,0.504,0.712
53,3,CalibratedClassifierCV,0.976,0.744,0.856,0.967,0.744,0.976,0.747,0.969
54,3,DecisionTreeClassifier,0.989,0.942,0.947,0.989,0.942,0.989,0.944,0.989
55,3,DummyClassifier,0.328,0.125,0.041,0.108,0.125,0.328,0.062,0.162
56,3,ExtraTreeClassifier,0.805,0.61,0.649,0.8,0.61,0.805,0.625,0.802
57,3,ExtraTreesClassifier,0.977,0.808,0.978,0.977,0.808,0.977,0.851,0.974
58,3,GaussianNB,0.045,0.255,0.027,0.004,0.255,0.045,0.028,0.006
59,3,KNeighborsClassifier,0.871,0.615,0.773,0.867,0.615,0.871,0.636,0.862
60,3,LabelPropagation,0.825,0.628,0.817,0.848,0.628,0.825,0.673,0.823
61,3,LabelSpreading,0.825,0.628,0.817,0.848,0.628,0.825,0.673,0.823
62,3,LinearDiscriminantAnalysis,0.982,0.94,0.922,0.985,0.94,0.982,0.927,0.983
63,3,LinearSVC,0.985,0.895,0.964,0.984,0.895,0.985,0.91,0.983
64,3,LogisticRegression,0.992,0.947,0.979,0.992,0.947,0.992,0.961,0.992
65,3,NearestCentroid,0.73,0.576,0.554,0.787,0.576,0.73,0.535,0.739
66,3,PassiveAggressiveClassifier,0.975,0.856,0.9,0.975,0.856,0.975,0.871,0.974
67,3,Perceptron,0.97,0.894,0.876,0.982,0.894,0.97,0.867,0.975
68,3,QuadraticDiscriminantAnalysis,0.107,0.473,0.567,0.635,0.473,0.107,0.263,0.07
69,3,RandomForestClassifier,0.97,0.764,0.975,0.971,0.764,0.97,0.8,0.966
70,3,RidgeClassifier,0.914,0.596,0.642,0.885,0.596,0.914,0.586,0.885
71,3,RidgeClassifierCV,0.914,0.596,0.704,0.91,0.596,0.914,0.586,0.885
72,3,SGDClassifier,0.967,0.737,0.784,0.959,0.737,0.967,0.752,0.962
73,3,SVC,0.975,0.799,0.85,0.972,0.799,0.975,0.817,0.973
74,3,LGBMClassifier,0.705,0.498,0.521,0.7,0.498,0.705,0.503,0.695
75,4,AdaBoostClassifier,0.549,0.364,0.263,0.384,0.364,0.549,0.28,0.412
76,4,BaggingClassifier,0.986,0.934,0.937,0.987,0.934,0.986,0.933,0.986
77,4,BernoulliNB,0.715,0.543,0.499,0.761,0.543,0.715,0.496,0.727
78,4,CalibratedClassifierCV,0.975,0.755,0.927,0.974,0.755,0.975,0.778,0.972
79,4,DecisionTreeClassifier,0.985,0.947,0.913,0.986,0.947,0.985,0.928,0.985
80,4,DummyClassifier,0.34,0.125,0.042,0.115,0.125,0.34,0.063,0.172
81,4,ExtraTreeClassifier,0.821,0.659,0.655,0.823,0.659,0.821,0.657,0.822
82,4,ExtraTreesClassifier,0.978,0.807,0.943,0.977,0.807,0.978,0.844,0.976
83,4,GaussianNB,0.036,0.254,0.02,0.003,0.254,0.036,0.022,0.004
84,4,KNeighborsClassifier,0.875,0.621,0.728,0.869,0.621,0.875,0.644,0.867
85,4,LabelPropagation,0.825,0.584,0.692,0.839,0.584,0.825,0.611,0.821
86,4,LabelSpreading,0.826,0.584,0.693,0.839,0.584,0.826,0.612,0.821
87,4,LinearDiscriminantAnalysis,0.975,0.937,0.893,0.984,0.937,0.975,0.898,0.979
88,4,LinearSVC,0.981,0.884,0.91,0.98,0.884,0.981,0.895,0.981
89,4,LogisticRegression,0.989,0.95,0.934,0.989,0.95,0.989,0.942,0.989
90,4,NearestCentroid,0.734,0.585,0.557,0.791,0.585,0.734,0.542,0.743
91,4,PassiveAggressiveClassifier,0.958,0.864,0.814,0.963,0.864,0.958,0.831,0.96
92,4,Perceptron,0.969,0.867,0.84,0.973,0.867,0.969,0.848,0.971
93,4,QuadraticDiscriminantAnalysis,0.092,0.483,0.507,0.507,0.483,0.092,0.258,0.06
94,4,RandomForestClassifier,0.975,0.771,0.948,0.974,0.771,0.975,0.802,0.972
95,4,RidgeClassifier,0.913,0.588,0.577,0.864,0.588,0.913,0.581,0.886
96,4,RidgeClassifierCV,0.913,0.588,0.577,0.864,0.588,0.913,0.581,0.886
97,4,SGDClassifier,0.969,0.763,0.835,0.966,0.763,0.969,0.788,0.967
98,4,SVC,0.974,0.795,0.821,0.972,0.795,0.974,0.806,0.973
99,4,LGBMClassifier,0.672,0.478,0.459,0.684,0.478,0.672,0.466,0.675
100,5,AdaBoostClassifier,0.55,0.367,0.274,0.408,0.367,0.55,0.278,0.414
101,5,BaggingClassifier,0.987,0.93,0.952,0.987,0.93,0.987,0.938,0.987
102,5,BernoulliNB,0.697,0.527,0.485,0.741,0.527,0.697,0.482,0.709
103,5,CalibratedClassifierCV,0.976,0.728,0.731,0.966,0.728,0.976,0.729,0.971
104,5,DecisionTreeClassifier,0.984,0.923,0.925,0.984,0.923,0.984,0.924,0.984
105,5,DummyClassifier,0.332,0.125,0.041,0.11,0.125,0.332,0.062,0.165
106,5,ExtraTreeClassifier,0.796,0.594,0.598,0.794,0.594,0.796,0.595,0.795
107,5,ExtraTreesClassifier,0.976,0.781,0.979,0.977,0.781,0.976,0.822,0.974
108,5,GaussianNB,0.035,0.252,0.141,0.053,0.252,0.035,0.021,0.004
109,5,KNeighborsClassifier,0.88,0.605,0.743,0.874,0.605,0.88,0.629,0.869
110,5,LabelPropagation,0.818,0.603,0.81,0.838,0.603,0.818,0.65,0.814
111,5,LabelSpreading,0.818,0.602,0.809,0.838,0.602,0.818,0.649,0.814
112,5,LinearDiscriminantAnalysis,0.981,0.948,0.915,0.985,0.948,0.981,0.925,0.982
113,5,LinearSVC,0.985,0.895,0.958,0.984,0.895,0.985,0.912,0.984
114,5,LogisticRegression,0.99,0.935,0.979,0.99,0.935,0.99,0.954,0.99
115,5,NearestCentroid,0.736,0.605,0.556,0.793,0.605,0.736,0.546,0.748
116,5,PassiveAggressiveClassifier,0.976,0.832,0.872,0.975,0.832,0.976,0.846,0.975
117,5,Perceptron,0.97,0.856,0.865,0.971,0.856,0.97,0.857,0.97
118,5,QuadraticDiscriminantAnalysis,0.098,0.47,0.546,0.577,0.47,0.098,0.258,0.072
119,5,RandomForestClassifier,0.967,0.733,0.971,0.968,0.733,0.967,0.757,0.963
120,5,RidgeClassifier,0.915,0.593,0.579,0.862,0.593,0.915,0.584,0.887
121,5,RidgeClassifierCV,0.915,0.593,0.578,0.862,0.593,0.915,0.584,0.887
122,5,SGDClassifier,0.969,0.722,0.749,0.963,0.722,0.969,0.732,0.966
123,5,SVC,0.974,0.793,0.85,0.972,0.793,0.974,0.815,0.972
124,5,LGBMClassifier,0.763,0.593,0.583,0.79,0.593,0.763,0.578,0.769
125,6,AdaBoostClassifier,0.547,0.365,0.276,0.406,0.365,0.547,0.278,0.412
126,6,BaggingClassifier,0.988,0.912,0.948,0.988,0.912,0.988,0.926,0.988
127,6,BernoulliNB,0.709,0.548,0.5,0.757,0.548,0.709,0.497,0.721
128,6,CalibratedClassifierCV,0.976,0.732,0.808,0.972,0.732,0.976,0.744,0.972
129,6,DecisionTreeClassifier,0.985,0.915,0.928,0.984,0.915,0.985,0.921,0.984
130,6,DummyClassifier,0.328,0.125,0.041,0.107,0.125,0.328,0.062,0.162
131,6,ExtraTreeClassifier,0.833,0.657,0.669,0.832,0.657,0.833,0.661,0.832
132,6,ExtraTreesClassifier,0.976,0.795,0.971,0.976,0.795,0.976,0.836,0.974
133,6,GaussianNB,0.035,0.257,0.024,0.003,0.257,0.035,0.024,0.004
134,6,KNeighborsClassifier,0.878,0.625,0.829,0.873,0.625,0.878,0.655,0.868
135,6,LabelPropagation,0.824,0.616,0.797,0.849,0.616,0.824,0.659,0.82
136,6,LabelSpreading,0.824,0.616,0.797,0.849,0.616,0.824,0.659,0.82
137,6,LinearDiscriminantAnalysis,0.981,0.956,0.915,0.985,0.956,0.981,0.927,0.982
138,6,LinearSVC,0.99,0.908,0.975,0.989,0.908,0.99,0.934,0.989
139,6,LogisticRegression,0.99,0.931,0.968,0.99,0.931,0.99,0.948,0.99
140,6,NearestCentroid,0.738,0.629,0.568,0.796,0.629,0.738,0.559,0.748
141,6,PassiveAggressiveClassifier,0.97,0.83,0.835,0.97,0.83,0.97,0.831,0.97
142,6,Perceptron,0.963,0.852,0.8,0.968,0.852,0.963,0.818,0.965
143,6,QuadraticDiscriminantAnalysis,0.097,0.452,0.58,0.722,0.452,0.097,0.244,0.064
144,6,RandomForestClassifier,0.969,0.752,0.976,0.97,0.752,0.969,0.785,0.965
145,6,RidgeClassifier,0.91,0.584,0.577,0.856,0.584,0.91,0.578,0.88
146,6,RidgeClassifierCV,0.91,0.585,0.577,0.856,0.585,0.91,0.578,0.88
147,6,SGDClassifier,0.966,0.746,0.876,0.965,0.746,0.966,0.774,0.964
148,6,SVC,0.973,0.79,0.844,0.971,0.79,0.973,0.81,0.972
149,6,LGBMClassifier,0.698,0.542,0.505,0.766,0.542,0.698,0.499,0.718
150,7,AdaBoostClassifier,0.557,0.366,0.258,0.382,0.366,0.557,0.282,0.421
